time,cvdd
2010-08-17,0.002476584336960808
2010-08-18,0.002486839384077873
2010-08-19,0.002482812203609428
2010-08-20,0.002479108957191765
2010-08-21,0.0024877227798987237
2010-08-22,0.002497080290241823
2010-08-23,0.002491283757495455
2010-08-24,0.002488311725016913
2010-08-25,0.0024825297869512696
2010-08-26,0.002476828870172964
2010-08-27,0.0024845894260057465
2010-08-28,0.002479398607332097
2010-08-29,0.0024749052301984396
2010-08-30,0.002470704596094948
2010-08-31,0.002493242246149795
2010-09-01,0.0024950027696718255
2010-09-02,0.0024920665651554283
2010-09-03,0.0024975767319701148
2010-09-04,0.0024938185515852316
2010-09-05,0.002552229215668928
2010-09-06,0.0025560449626632394
2010-09-07,0.002558249811341556
2010-09-08,0.002553831723274091
2010-09-09,0.002574299369172578
2010-09-10,0.0025682796599749143
2010-09-11,0.0025639224398430515
2010-09-12,0.0025673599885863005
2010-09-13,0.0025754826981776893
2010-09-14,0.0025736928480929824
2010-09-15,0.0025890802789243915
2010-09-16,0.0026074351692716505
2010-09-17,0.0028792043296747513
2010-09-18,0.0028802616275442018
2010-09-19,0.00287941108931071
2010-09-20,0.002881987999436753
2010-09-21,0.0028778661034565924
2010-09-22,0.0028792934675523655
2010-09-23,0.0028977515816271068
2010-09-24,0.0028926064955883805
2010-09-25,0.0028953086067482993
2010-09-26,0.0028915715505116947
2010-09-27,0.0029729557738379436
2010-09-28,0.0034955121512154344
2010-09-29,0.0035093352617398452
2010-09-30,0.003511999875683675
2010-10-01,0.0037172226892718727
2010-10-02,0.0040125127749125215
2010-10-03,0.004011225666135064
2010-10-04,0.004043675602315468
2010-10-05,0.00420921720747526
2010-10-06,0.004209808034645267
2010-10-07,0.004221341895338372
2010-10-08,0.004282595367527342
2010-10-09,0.004329609659752245
2010-10-10,0.004368146271980745
2010-10-11,0.004378723669739678
2010-10-12,0.004383457109439806
2010-10-13,0.004548666281285219
2010-10-14,0.00457609971378855
2010-10-15,0.0046463106612454124
2010-10-16,0.004808987637565768
2010-10-17,0.004807435868215566
2010-10-18,0.004802945775416068
2010-10-19,0.004803385922037439
