time,Open,High,Low,Close,Volume,Quote_Volume
2017-01-01,966.61,1006.5,961.26,998.99,350393.594174,238.996248
2017-01-02,999.0,1035.0,994.1,1019.3,585021.273665,387.777996
2017-01-03,1019.6,1040.0,1013.5,1037.5,385899.247968,250.852698
2017-01-04,1037.6,1150.0,1036.4,1139.6,1535628.29765,955.349196
2017-01-05,1138.3,1166.0,850.79,1003.2,2659437.98494,1621.707412
2017-01-06,1003.8,1025.0,871.0,898.5,1483153.37884,1020.717373
2017-01-07,898.2,911.09,815.0,908.0,976233.538542,721.959428
2017-01-08,908.03,943.6,890.0,915.9,746688.66485,546.632209
2017-01-09,915.9,916.7,875.0,903.0,403298.965066,294.938544
2017-01-10,903.01,918.0,895.48,905.76,292650.004205,215.836096
2017-01-11,905.76,923.66,760.0,779.54,1448186.45078,1117.833204
2017-01-12,779.54,831.18,735.0,804.58,754667.658237,638.558556
2017-01-13,804.58,832.39,775.61,828.12,560629.884679,460.04553
2017-01-14,827.22,838.54,800.03,815.3,275187.135399,222.847049
2017-01-15,816.7,823.0,805.03,820.74,117653.806714,95.881903
2017-01-16,821.16,837.97,813.94,830.1,168207.570265,136.067149
2017-01-17,830.0,910.8,828.0,903.99,623336.481763,486.223801
2017-01-18,903.99,913.85,847.23,887.46,510525.811819,378.807031
2017-01-19,887.49,910.03,883.49,900.29,358718.726507,268.173849
2017-01-20,901.56,904.99,883.06,895.74,227823.416759,168.82937
2017-01-21,896.14,931.01,893.89,924.02,293982.929783,216.458366
2017-01-22,924.3,939.9,892.0,923.72,538393.091063,388.406166
2017-01-23,923.72,928.87,905.99,908.52,239305.885263,173.664266
2017-01-24,908.36,927.34,884.2,886.1,497643.648148,368.240318
2017-01-25,886.45,899.61,884.2,893.35,248342.678392,186.286116
2017-01-26,893.9,917.64,893.49,915.12,236012.822554,174.635448
2017-01-27,915.1,922.16,905.0,916.7,247653.250811,180.314719
2017-01-28,916.98,923.99,915.01,919.43,88490.383453,64.277406
2017-01-29,919.48,922.99,910.72,912.55,66067.942898,48.023044
2017-01-30,912.56,920.89,910.01,917.35,84358.97643,61.520437
2017-01-31,917.35,969.4,916.75,966.19,488961.776808,349.147433
2017-02-01,966.2,985.0,960.1,983.73,294253.861909,201.81121
2017-02-02,983.75,1010.6,970.1,1007.0,470466.011828,316.332837
2017-02-03,1007.0,1020.5,986.11,1015.7,510965.664261,337.304462
2017-02-04,1015.8,1040.0,1001.6,1031.1,468155.21353,305.714052
2017-02-05,1030.9,1033.0,995.1,1006.6,441609.600491,287.843567
2017-02-06,1007.0,1026.3,1006.0,1022.6,240235.999441,158.226964
2017-02-07,1022.8,1056.4,1021.7,1052.1,418221.815206,270.020864
2017-02-08,1052.5,1070.0,1006.5,1048.8,647343.01628,410.516213
2017-02-09,1049.0,1078.0,936.34,984.97,1643448.86222,1066.146516
2017-02-10,984.97,1002.0,949.36,992.0,644629.754342,435.275363
2017-02-11,992.02,1009.0,984.01,1000.1,247634.614453,165.967156
2017-02-12,1000.0,1005.8,992.33,996.01,115443.98452,77.065153
2017-02-13,996.0,1004.8,974.22,996.5,240473.613757,160.932651
2017-02-14,996.52,1019.0,988.6,1013.3,326116.702875,216.952642
2017-02-15,1013.4,1018.2,1002.3,1013.9,151712.042692,99.787577
2017-02-16,1013.9,1045.8,1013.9,1038.5,306958.379266,200.214186
2017-02-17,1037.2,1067.4,1033.1,1056.2,450065.210101,287.526487
2017-02-18,1056.9,1071.1,1053.1,1059.7,201690.465977,127.109164
2017-02-19,1059.1,1066.0,1045.0,1056.2,181682.757274,114.467463
2017-02-20,1056.3,1110.0,1040.1,1091.2,378582.917186,236.333677
2017-02-21,1091.8,1134.0,1085.0,1129.6,721720.382711,435.663638
2017-02-22,1130.1,1140.0,1106.4,1125.5,431218.158628,254.729101
2017-02-23,1125.5,1125.5,1125.5,1125.5,0.0,0.0
2017-02-24,1189.5,1222.4,1110.0,1185.4,1527252.05193,856.947622
2017-02-25,1185.4,1189.9,1131.3,1153.0,510170.992775,289.557292
2017-02-26,1153.0,1186.1,1130.7,1178.3,343258.269189,197.031409
2017-02-27,1178.7,1204.0,1170.0,1195.5,371508.725585,209.129852
2017-02-28,1195.7,1216.0,1176.6,1189.1,556192.748554,310.678815
2017-03-01,1189.1,1236.4,1186.0,1233.2,722894.649446,400.340394
2017-03-02,1233.7,1285.9,1212.0,1258.0,1012428.97787,543.527663
2017-03-03,1258.5,1294.9,1256.0,1289.2,754304.437515,396.35565
2017-03-04,1289.2,1291.9,1240.0,1267.8,531690.293669,276.475635
2017-03-05,1267.0,1279.9,1245.0,1278.4,315735.722534,165.636199
2017-03-06,1278.5,1287.8,1268.0,1279.2,327449.193395,170.715392
2017-03-07,1279.3,1282.0,1185.0,1232.4,1415921.42723,746.990993
2017-03-08,1232.3,1243.6,1142.1,1150.0,1505215.01906,832.852885
2017-03-09,1149.4,1207.6,1136.0,1190.4,748921.622821,429.279848
2017-03-10,1190.3,1339.9,958.5,1115.4,3260709.12103,1865.394234
2017-03-11,1113.0,1196.6,1101.2,1172.4,944415.278438,555.799952
2017-03-12,1172.5,1232.7,1166.8,1224.4,602203.545062,337.425643
2017-03-13,1224.4,1247.3,1206.7,1238.5,756178.357212,410.15288
2017-03-14,1238.5,1258.8,1218.9,1245.0,594691.525603,319.554823
2017-03-15,1244.4,1263.9,1241.0,1256.2,527377.264627,281.643399
2017-03-16,1257.1,1259.7,1132.5,1168.6,1685252.67922,915.201846
2017-03-17,1169.1,1169.8,1065.0,1070.4,1794961.10428,1053.195508
2017-03-18,1067.8,1097.9,935.11,971.51,2427090.95503,1562.281963
2017-03-19,971.63,1059.0,969.4,1016.5,1066960.85605,720.977955
2017-03-20,1016.1,1054.2,1011.0,1040.5,561181.940742,365.269594
2017-03-21,1040.5,1122.3,1039.0,1115.9,949444.77348,593.9784
2017-03-22,1115.7,1116.0,985.55,1039.1,1201580.75646,734.799423
2017-03-23,1039.3,1055.0,1018.0,1032.7,534456.974981,343.558625
2017-03-24,1032.7,1034.6,928.0,942.13,1163789.94262,773.917429
2017-03-25,942.14,981.0,888.2,972.17,1168494.05432,818.144238
2017-03-26,972.17,1006.0,950.1,968.9,861468.408879,591.416024
2017-03-27,969.0,1046.9,960.1,1042.7,845830.481852,567.53815
2017-03-28,1042.8,1068.9,1016.2,1044.7,702683.549136,448.956042
2017-03-29,1044.3,1059.0,1008.5,1041.8,621214.949883,396.891739
2017-03-30,1041.7,1053.5,1021.2,1041.2,689055.344313,441.051875
2017-03-31,1041.2,1089.4,1035.0,1081.5,773572.080368,488.999071
2017-04-01,1081.3,1106.9,1070.0,1093.5,492099.475772,302.263122
2017-04-02,1093.3,1118.2,1080.9,1107.5,598009.866476,363.079364
2017-04-03,1107.6,1159.9,1107.5,1150.1,910195.095529,540.929543
2017-04-04,1150.2,1165.6,1124.0,1145.8,648329.332712,376.25752
2017-04-05,1145.7,1146.7,1111.2,1140.4,688014.978686,400.964496
2017-04-06,1140.5,1206.4,1140.3,1191.5,993231.252491,572.055437
2017-04-07,1191.5,1209.0,1176.7,1196.6,650390.748832,363.387389
2017-04-08,1196.4,1202.9,1171.0,1188.1,350846.095334,195.954143
2017-04-09,1188.1,1226.9,1179.4,1215.9,520913.293697,290.032735
2017-04-10,1216.3,1229.9,1208.0,1220.3,375122.70636,205.383507
2017-04-11,1220.2,1244.7,1209.1,1235.6,312317.488832,169.922464
2017-04-12,1236.0,1244.3,1221.0,1227.4,394980.946347,213.537842
2017-04-13,1227.4,1235.3,1163.3,1186.9,619596.678472,340.278814
2017-04-14,1189.2,1219.2,1184.0,1206.8,392455.387932,218.93082
2017-04-15,1206.7,1215.0,1190.0,1193.3,293277.562582,162.629308
2017-04-16,1194.0,1217.6,1190.1,1212.0,144067.257,80.037365
2017-04-17,1212.5,1247.0,1202.0,1240.0,493861.429115,269.501462
2017-04-18,1240.0,1274.8,1237.0,1265.4,537300.645483,286.91229
2017-04-19,1265.2,1272.0,1254.3,1260.5,255652.338601,134.876857
2017-04-20,1260.5,1326.9,1259.9,1308.5,531787.526987,277.732094
2017-04-21,1308.5,1333.1,1307.0,1327.0,280374.037888,142.177504
2017-04-22,1327.0,1354.9,1290.0,1346.4,440079.927592,220.017962
2017-04-23,1345.4,1359.0,1336.0,1355.2,278676.342,137.754
2017-04-24,1355.3,1359.6,1325.0,1345.0,285383.189369,140.735373
2017-04-25,1345.0,1378.5,1342.1,1371.1,298742.514336,147.123939
2017-04-26,1372.1,1411.7,1362.3,1400.0,434956.228771,209.910829
2017-04-27,1399.3,1449.7,1392.5,1440.3,391744.867743,184.833267
2017-04-28,1440.5,1447.0,1366.0,1415.6,535372.843906,249.207673
2017-04-29,1415.9,1439.5,1400.1,1423.6,331686.914698,155.889888
2017-04-30,1425.4,1443.7,1400.1,1435.0,324597.489677,151.475799
2017-05-01,1435.3,1560.0,1432.0,1533.0,873218.366117,396.592954
2017-05-02,1533.0,1604.6,1473.0,1558.5,687999.117613,297.545299
