time,zscore
2010-08-18,11.638836474234612
2010-08-19,9.171769446770933
2010-08-20,7.371200844472058
2010-08-21,8.860864594274288
2010-08-22,9.230255555942882
2010-08-23,8.478228751751764
2010-08-24,8.859834095036891
2010-08-25,9.039254369147558
2010-08-26,8.487430285011868
2010-08-27,9.664271063053937
2010-08-28,9.749719536607886
2010-08-29,9.459921373110744
2010-08-30,10.67988279076105
2010-08-31,4.412590230808288
2010-09-01,5.579006695608679
2010-09-02,6.62062826348351
2010-09-03,4.720101272676041
2010-09-04,5.601879322051836
2010-09-05,5.28726857753869
2010-09-06,5.311649615219058
2010-09-07,5.10214464939525
2010-09-08,4.9606138650771525
2010-09-09,5.058450532810451
2010-09-10,5.039791227627488
2010-09-11,6.714976715154558
2010-09-12,5.446936441081777
2010-09-13,5.992278211731451
2010-09-14,5.968002528390376
2010-09-15,4.943301637890692
2010-09-16,6.050655264239651
2010-09-17,4.710209702944894
2010-09-18,5.505020394358885
2010-09-19,6.6419996899205564
2010-09-20,6.2254225884948475
2010-09-21,6.52090427735513
2010-09-22,5.9889089858009
2010-09-23,6.139500149780236
2010-09-24,6.109587570276611
2010-09-25,5.927846902302496
2010-09-26,5.859546673039596
2010-09-27,5.870817764032021
2010-09-28,5.517611240843348
2010-09-29,5.452564719482214
2010-09-30,5.3849878155364
2010-10-01,5.314541393114592
2010-10-02,4.762083716531702
2010-10-03,4.550345688647378
2010-10-04,4.6936467496356284
2010-10-05,4.69641039210774
2010-10-06,5.396642789221977
2010-10-07,6.670292480441483
2010-10-08,7.537605320260493
2010-10-09,6.304796178059527
2010-10-10,5.27450397344201
2010-10-11,4.308657035253972
2010-10-12,3.8671227389066134
2010-10-13,4.231571151540046
2010-10-14,3.6318695429609305
2010-10-15,3.5281382581017584
2010-10-16,3.04188539609496
2010-10-17,2.9611357326597445
2010-10-18,2.855407812085848
2010-10-19,2.469980216317522
2010-10-20,2.487503270382626
2010-10-21,2.82764112569885
2010-10-22,2.4891971093866023
2010-10-23,2.530721131175705
2010-10-24,2.96223534769909
2010-10-25,3.8709483963352493
2010-10-26,4.004566269719685
2010-10-27,4.759770549604427
2010-10-28,3.7853578642741983
2010-10-29,3.951386244692694
2010-10-30,3.822117778012219
2010-10-31,3.4207680352959198
2010-11-01,3.2743216153626853
2010-11-02,3.088161331200806
2010-11-03,2.938165600972678
2010-11-04,3.4948061764970033
2010-11-05,3.8121353965148006
2010-11-06,5.3746578057118
2010-11-07,3.955203506389342
2010-11-08,2.389027158539017
2010-11-09,1.9704556436820708
2010-11-10,2.113808095920699
2010-11-11,1.9907957281069522
2010-11-12,2.562864726620628
2010-11-13,2.5898510662462586
2010-11-14,2.5551828528469684
2010-11-15,2.3415126629845626
2010-11-16,1.759802765501136
2010-11-17,1.9552819623995865
2010-11-18,2.259509196262748
2010-11-19,2.324228853920209
2010-11-20,2.3310501859351045
2010-11-21,2.217524669929455
2010-11-22,2.275967905078162
2010-11-23,2.214331532505832
2010-11-24,2.179251259913979
2010-11-25,2.113211231143319
2010-11-26,2.1292165622097055
2010-11-27,2.087093351389881
2010-11-28,1.9389148856662926
2010-11-29,1.4844851976127993
2010-11-30,1.2374756303580414
2010-12-01,1.4521406454616768
2010-12-02,1.7400639308560841
